age,education,marital_status,worker_class,occupation_code,hours_per_week,sex,race,income,state,income_estimate_from_peers
46,22.0,Married,Federal government,440,45.0,Male,1,145000.0,6,146784.0
32,22.0,Never married,"Private, for-profit",4965,40.0,Female,6,52000.0,6,55886.0
36,22.0,Married,"Private, for-profit",1021,40.0,Male,6,150000.0,6,150984.0
22,16.0,Never married,"Private, for-profit",5240,40.0,Female,1,16000.0,6,18215.0
32,21.0,Married,"Private, non-profit",3255,2.0,Female,6,3000.0,6,1146.0
27,21.0,Never married,"Private, for-profit",750,40.0,Male,1,41200.0,6,40887.0
52,22.0,Never married,"Private, for-profit",51,20.0,Female,1,4000.0,6,50.0
57,16.0,Never married,"Private, for-profit",700,40.0,Male,1,80000.0,6,80627.0
33,21.0,Never married,"Private, non-profit",2310,40.0,Female,1,33600.0,6,37946.0
46,1.0,Never married,"Private, for-profit",8800,40.0,Female,8,27500.0,6,18649.0
47,19.0,Divorced,"Private, for-profit",4700,50.0,Male,1,53000.0,6,56134.0
51,21.0,Married,"Self-employed, incorporated",735,,Male,1,600.0,6,-6349.0
38,15.0,Married,"Private, for-profit",6230,40.0,Male,1,85000.0,6,84656.0
51,18.0,Married,"Private, for-profit",20,40.0,Female,1,85000.0,6,82830.0
22,20.0,Never married,"Private, for-profit",4110,24.0,Female,6,2000.0,6,-4034.0
30,,Never married,"Private, for-profit",9142,40.0,Male,8,29000.0,6,27504.0
30,19.0,Married,"Private, for-profit",4700,50.0,Male,1,58000.0,6,50865.0
27,18.0,Divorced,"Self-employed, unincorporated",6260,18.0,Male,6,14000.0,6,7247.0
22,14.0,Never married,"Private, for-profit",3930,15.0,Male,9,,6,
55,20.0,Divorced,"Private, for-profit",102,40.0,Female,1,63000.0,6,59290.0
51,17.0,Married,"Private, for-profit",136,55.0,Male,1,205000.0,6,214660.0
40,16.0,Never married ,"Private, for-profit",9142,40.0,Male,1,26000.0,6,21231.0
71,21.0,Divorced,"Private, non-profit",4710,1.0,Female,1,,6,
45,21.0,Separated,"Private, non-profit",3150,40.0,Female,1,80000.0,6,82694.0
28,16.0,Never married ,"Private, non-profit",4020,40.0,Male,1,10000.0,6,11940.0
54,9.0,Divorced,"Private, for-profit",6260,40.0,Male,8,75000.0,6,77443.0
29,20.0,Never married,"Private, for-profit",4000,40.0,FEMALE,1,30000.0,6,29438.0
23,21.0,Never married,"Private, for-profit",4760,20.0,Female,1,25000.0,6,33314.0
28,21.0,Never married,"Private, for-profit",630,45.0,Female,1,130000.0,6,124354.0
44,21.0,Married,"Self-employed, unincorporated",2360,4.0,Female,9,5600.0,6,-1606.0
48,22.0,Married,"Private, for-profit",1530,40.0,Male,6,140000.0,6,150761.0
56,20.0,Married,"Self-employed, incorporated",440,40.0,Male,1,500000.0,6,499869.0
68,22.0,Married,Federal government,230,40.0,Male,1,,6,
30,21.0,Married,"Private, for-profit",10,40.0,Male,1,100000.0,6,103170.0
36,,Never married,"Private, for-profit",9600,40.0,Male,1,,6,
58,16.0,Divorced,Local government,5521,50.0,Female,1,25000.0,6,22663.0
55,1.0,Married,"Private, for-profit",4230,40.0,Female,1,25000.0,6,16827.0
46,21.0,Married,Federal government,930,40.0,Male,1,92200.0,6,99984.0
45,16.0,Married,"Private, for-profit",4000,40.0,Male,6,15900.0,6,19562.0
54,19.0,Married,"Private, for-profit",4220,,Male,1,70000.0,6,64612.0
56,19.0,Married,"Private, non-profit",3323,,Male,1,176000.0,6,182213.0
41,15.0,Married,"Private, for-profit",8310,36.0,Female,1,15000.0,6,9223.0
36,19.0,Never married,"Private, for-profit",2545,40.0,Female,1,12000.0,6,14147.0
51,20.0,Divorced,"Self-employed, incorporated",10,50.0,Male,1,198000.0,6,202524.0
64,18.0,Married,"Private, non-profit",5510,25.0,MALE,1,5000.0,6,-3055.0
25,1.0,Never married,"Private, for-profit",4120,8.0,Female,2,30000.0,6,25269.0
59,,Never married,"Self-employed, unincorporated",220,50.0,Male,1,47000.0,6,57410.0
69,21.0,Married,"Private, for-profit",4810,30.0,Male,1,77200.0,6,82926.0
41,24.0,Married,"Private, for-profit",2100,70.0,Female,1,90000.0,6,90306.0
49,18.0,Married,"Private, for-profit",2805,60.0,Female,2,125000.0,6,130401.0
38,21.0,Never married,"Private, for-profit",2910,40.0,Male,1,51000.0,6,61136.0
61,19.0,Married,"Private, for-profit",440,55.0,Female,1,221800.0,6,218293.0
74,16.0,Divorced,"Self-employed, unincorporated",2600,20.0,Female,1,15000.0,6,9886.0
53,19.0,Married,"Private, for-profit",1108,40.0,Female,6,67000.0,6,63580.0
22,19.0,Never married,"Private, non-profit",2040,35.0,Male,1,10000.0,6,7166.0
19,16.0,Never married,"Private, for-profit",9600,30.0,Male,1,940.0,6,2747.0
84,19.0,Widowed,"Private, for-profit",3930,40.0,Male,1,44400.0,6,37672.0
66,18.0,Never married,"Self-employed, incorporated",2635,50.0,Male,1,174000.0,6,174341.0
51,20.0,Married,"Self-employed, unincorporated",5120,40.0,Female,1,28000.0,6,30314.0
22,19.0,Never married,"Private, for-profit",8255,20.0,Male,1,10000.0,6,11601.0
67,,Married,"Private, for-profit",8540,65.0,Male,1,101000.0,6,113430.0
69,23.0,Never married,"Private, non-profit",2205,40.0,Male,6,125000.0,6,126360.0
35,22.0,Married,Local government,2310,40.0,Female,1,70000.0,6,60668.0
53,15.0,Married,"Private, for-profit",4850,30.0,Female,1,30000.0,6,21216.0
46,23.0,Married,"Self-employed, incorporated",2100,35.0,Female,1,140000.0,6,141873.0
51,19.0,Married,"Private, for-profit",6260,30.0,Female,1,65000.0,6,67825.0
42,20.0,Married,Local government,3423,36.0,Female,1,75000.0,6,75854.0
48,21.0,Married,Local government,3255,36.0,Female,6,125000.0,6,124737.0
60,1.0,Married,"Private, for-profit",8350,40.0,Female,6,12000.0,6,20604.0
45,22.0,Married,"Private, for-profit",8740,60.0,Male,1,95000.0,6,93669.0
28,19.0,Never married,"Private, for-profit",2545,36.0,Female,1,22600.0,6,19585.0
60,,Never married,"Self-employed, unincorporated",800,40.0,Male,1,172000.0,6,172303.0
23,16.0,Never married,"Private, for-profit",9645,20.0,Female,1,9000.0,6,1427.0
34,19.0,Never married,"Private, for-profit",4040,40.0,Male,1,40000.0,6,38051.0
50,20.0,Married,Local government,2310,30.0,Female,8,34000.0,6,28023.0
28,18.0,Married,State government,4220,40.0,Female,1,34000.0,6,45563.0
40,,Married,"Private, for-profit",9620,35.0,Male,2,20100.0,6,28569.0
24,18.0,Never married,"Private, for-profit",4710,40.0,Male,8,25000.0,6,24526.0
63,21.0,Married,Local government,4600,25.0,Female,1,12000.0,6,13368.0
33,21.0,Never married,State government,8990,8.0,Female,8,1000.0,6,-4011.0
46,19.0,Married,"Private, for-profit",4030,40.0,Male,6,30000.0,6,29875.0
62,21.0,Married,"Private, non-profit",3255,36.0,Female,6,103000.0,6,102858.0
26,20.0,Married,"Private, for-profit",6355,40.0,Male,1,36900.0,6,46000.0
47,22.0,Married,Local government,2205,50.0,Female,1,99830.0,6,96769.0
41,21.0,Never married,"Private, for-profit",4720,25.0,Female,1,22000.0,6,25672.0
52,,Married,Federal government,3640,40.0,Female,2,35000.0,6,32498.0
43,16.0,Divorced,"Private, for-profit",9620,40.0,Male,8,38000.0,6,35380.0
48,1.0,Married,"Private, for-profit",8320,35.0,Male,8,14400.0,6,20511.0
43,21.0,Never married ,"Self-employed, incorporated",10,60.0,Male,1,232000.0,6,230785.0
35,16.0,Married,"Private, for-profit",5850,40.0,Male,1,38000.0,6,34829.0
26,19.0,Never married,"Private, for-profit",9640,60.0,Male,8,40500.0,6,34464.0
47,21.0,Married,"Private, for-profit",3255,50.0,Male,1,100000.0,6,98265.0
45,17.0,Married,"Private, for-profit",3421,40.0,Female,1,36000.0,6,37722.0
35,20.0,Married,"Private, for-profit",5400,16.0,Female,1,25000.0,6,32226.0
23,20.0,Never married,Local government,5320,25.0,Female,8,12500.0,6,12376.0
37,21.0,Married,Local government,2310,40.0,Female,1,62000.0,6,58270.0
39,17.0,Never married,"Self-employed, unincorporated",9610,30.0,Male,8,28000.0,6,24841.0
64,19.0,Married,"Private, for-profit",705,40.0,Male,1,92800.0,6,89322.0
20,19.0,Never married,"Private, for-profit",4030,30.0,Female,8,5000.0,6,6455.0
56,19.0,Married,"Self-employed, unincorporated",4600,40.0,Female,1,23000.0,6,22578.0
21,16.0,Never married,"Private, for-profit",6050,,MALE,9,30000.0,6,26078.0
47,21.0,Married,"Private, for-profit",440,50.0,Male,1,500000.0,6,500599.0
26,16.0,Never married,"Private, for-profit",8810,40.0,Male,8,55000.0,6,59728.0
38,9.0,Married,"Private, for-profit",9645,56.0,Male,1,19200.0,6,17239.0
51,,Married,"Private, for-profit",5610,-1.0,Female,8,20000.0,6,23633.0
32,21.0,Never married,"Private, non-profit",335,50.0,Male,1,30000.0,6,22079.0
23,16.0,Never married,"Private, for-profit",3603,24.0,Female,6,6300.0,6,8359.0
32,,Never married,"Private, for-profit",4110,25.0,Male,1,10000.0,6,14507.0
19,18.0,Never married,"Private, for-profit",4010,25.0,Male,1,6000.0,6,5129.0
31,18.0,Married,"Private, for-profit",7315,40.0,Male,1,108000.0,6,108794.0
51,21.0,Divorced,"Private, for-profit",120,50.0, Female,1,75000.0,6,78762.0
18,18.0,Never married,"Private, for-profit",4720,30.0,Male,1,1500.0,6,3535.0
52,19.0,Divorced,"Self-employed, incorporated",10,30.0,Male,1,60000.0,6,64250.0
50,19.0,Married,"Private, for-profit",220,40.0,Male,1,92000.0,6,84033.0
53,24.0,Married,"Self-employed, incorporated",3010,60.0,Female,6,301000.0,6,305647.0
40,20.0,Divorced,Federal government,7330,40.0,Female,1,94000.0,6,92867.0
23,,Never married,"Private, for-profit",9130,30.0,Male,1,10000.0,6,4456.0
49,22.0,Married,"Private, for-profit",705,45.0,Female,6,202000.0,6,205036.0
33,21.0,Never married,"Private, for-profit",735,45.0,Female,6,120000.0,6,118516.0
68,16.0,Married,"Private, for-profit",7750,60.0,Male,6,75700.0,6,69973.0
24,21.0,Never married,"Private, for-profit",51,40.0,Female,1,59000.0,6,64531.0
29,18.0,Never married,"Private, for-profit",5310,40.0,Female,8,45000.0,6,45864.0
27,19.0,Married,Federal government,9040,45.0,Female,2,20700.0,6,14661.0
43,22.0,Married,"Private, for-profit",420,45.0,Male,1,232000.0,6,230217.0
21,20.0,Never married,"Private, for-profit",2350,30.0,Female,1,9000.0,6,1672.0
57,22.0,Married,"Private, for-profit",1021,50.0,Male,6,99000.0,6,103292.0
44,16.0,Never married,"Private, for-profit",5740,40.0,Female,1,35000.0,6,38789.0
29,13.0,Married,"Private, for-profit",6410,30.0,Male,1,21000.0,6,19996.0
23,,Married,"Private, for-profit",6260,40.0,Male,1,20000.0,6,24410.0
54,21.0,Never married,"Private, for-profit",8800,48.0,Male,8,24000.0,6,28991.0
37,16.0,Divorced,"Private, for-profit",9640,40.0,Male,8,28000.0,6,29998.0
42,21.0,Never married,"Private, for-profit",2600,50.0,Male,1,70000.0,6,69484.0
51,20.0,Married,Local government,3820,40.0,Male,1,208000.0,6,217405.0
69,20.0,Divorced,"Private, for-profit",9600,20.0,Male,1,20000.0,6,24787.0
61,22.0,Married,"Private, for-profit",1021,,Female,1,145000.0,6,144046.0
23,16.0,Never married,"Private, for-profit",7640,70.0,Male,1,40000.0,6,39594.0
49,20.0,Married,"Private, for-profit",4850,40.0,Male,1,65000.0,6,66470.0
55,22.0,Married,"Private, non-profit",1555,40.0,Female,1,124000.0,6,127965.0
50,21.0,Married,"Private, for-profit",5000,40.0,Male,1,32000.0,6,24431.0
34,18.0,Never married,"Private, for-profit",2600,45.0,Male,1,35000.0,6,36530.0
48,21.0,Married,"Self-employed, incorporated",4252,40.0,Female,1,60000.0,6,59857.0
28,21.0,Never married,"Private, for-profit",2014,43.0,Male,3,47000.0,6,53726.0
50,1.0,Married,"Private, for-profit",6230,40.0,Male,8,30000.0,6,35062.0
61,19.0,Married,"Private, for-profit",5400,65.0,Male,1,68000.0,6,75241.0
21,19.0,Never married,"Private, for-profit",9620,40.0,Female,9,5000.0,6,5630.0
36,18.0,Married,"Private, for-profit",8800,40.0,Female,1,25000.0,6,21734.0
39,20.0,Married,Federal government,137,50.0,Male,1,65000.0,6,58993.0
20,,Never married,Local government,2545,20.0,Male,1,5000.0,6,-3016.0
54,11.0,Married,"Private, for-profit",8320,30.0,Female,6,,6,
48,22.0,Married,"Private, for-profit",4621,20.0,Female,1,12000.0,6,6067.0
60,19.0,Married,"Self-employed, unincorporated",4840,40.0,Male,1,36000.0,6,39114.0
39,19.0,Never married,"Private, for-profit",3545,48.0,Male,1,61000.0,6,64713.0
30,,Never married,"Private, for-profit",5510,30.0,Male,6,,6,
55,20.0,Married,"Private, for-profit",3255,40.0,Male,2,70000.0,6,70099.0
68,21.0,Married,"Private, for-profit",350,32.0,Female,1,98000.0,6,94953.0
38,23.0,Married,"Private, for-profit",2100,55.0,Male,1,290000.0,6,292685.0
34,17.0,Divorced,"Private, for-profit",3500,8.0,Female,1,40000.0,6,36356.0
46,20.0,Married,"Private, for-profit",6200,40.0,Male,6,60000.0,6,66591.0
48,21.0,Married ,"Private, for-profit",2850,40.0,Female,1,90050.0,6,93723.0
19,16.0,Never married,"Private, for-profit",2700,30.0,Male,9,150000.0,6,145218.0
55,16.0,Married,"Private, for-profit",4230,35.0,Female,2,8500.0,6,6009.0
70,16.0,Married,"Self-employed, unincorporated",5120,40.0,Female,1,55400.0,6,49701.0
57,15.0,Married,"Self-employed, incorporated",10,40.0,Male,1,20800.0,6,20640.0
46,13.0,Married,"Self-employed, unincorporated",4220,40.0,Male,1,50000.0,6,49227.0
19,19.0,Never married,"Private, for-profit",4720,40.0,Male,8,18000.0,6,29181.0
58,,Married,"Private, for-profit",7700,40.0,Male,1,66000.0,6,67512.0
63,15.0,Never married,"Self-employed, unincorporated",6260,30.0,Male,1,15000.0,6,14430.0
56,,Married,"Private, for-profit",1530,55.0,Male,1,130000.0,6,121397.0
26,21.0,Never married,Federal government,2310,40.0,Female,1,40000.0,6,44614.0
37,20.0,Married,"Self-employed, unincorporated",2861,40.0,Female,6,15600.0,6,7558.0
35,,Married,"Private, for-profit",705,40.0,Female,6,148000.0,6,142798.0
45,11.0,Married,"Private, for-profit",8465,50.0,Male,8,19000.0,6,29768.0
58,24.0,Married,"Private, for-profit",3040,,Male,6,40000.0,6,48240.0
40,19.0,Never married,"Private, for-profit",4220,40.0,Male,1,65000.0,6,66731.0
30,20.0,Never married,"Private, for-profit",4040,24.0,Male,6,28000.0,6,32531.0
44,16.0,Never married,"Private, for-profit",9620,60.0,Male,1,30000.0,6,26544.0
24,21.0,Never married,"Private, for-profit",735,40.0,Female,1,40000.0,6,31827.0
31,20.0,Never married,"Private, for-profit",2861,4.0,Female,1,3600.0,6,2764.0
37,21.0,Married,"Private, for-profit",700,40.0,Male,6,89000.0,6,81243.0
19,15.0,Never married,State government,3602,25.0,Male,1,600.0,6,11393.0
23,21.0,Never married,"Private, for-profit",5120,20.0,Female,6,25000.0,6,24708.0
49,1.0,Married,"Private, for-profit",7150,40.0,Male,6,20200.0,6,13751.0
33,21.0,Married,"Private, for-profit",4920,45.0,Male,1,500000.0,6,503780.0
55,18.0,Married,State government,5860,46.0,Female,6,24000.0,6,23482.0
60,16.0,Married,"Private, for-profit",9645,40.0,Male,8,9000.0,6,-1778.0
61,21.0,Married,Local government,2310,8.0,Female,1,1000.0,6,525.0
62,18.0,Married,"Private, for-profit",6355,40.0,Male,1,57000.0,6,49685.0
29,20.0,Never married,"Self-employed, unincorporated",4220,11.0,Male,1,14500.0,6,13615.0
34,17.0,Married,"Private, for-profit",120,40.0,Female,8,20000.0,6,20405.0
29,21.0,Married,"Private, non-profit",3255,40.0,Female,1,3000.0,6,-3647.0
38,21.0,Married,"Private, for-profit",6355,40.0,Male,9,130000.0,6,126946.0
74,18.0,Divorced,"Private, for-profit",4030,,Female,1,35700.0,6,34580.0
31,22.0,Divorced,Federal government,2861,40.0,Female,1,,6,
54,22.0,Divorced,"Private, for-profit",440,60.0,Male,9,180800.0,6,186808.0
22,,Never married,"Private, for-profit",2640,40.0,Female,6,100000.0,6,95534.0
49,21.0,Married,"Private, for-profit",705,40.0,Male,6,,6,
57,,Married,"Self-employed, unincorporated",2752,60.0,Male,1,75000.0,6,76429.0
33,16.0,Married,Family business (unpaid),9005,-1.0,Male,1,44600.0,6,49528.0
43,19.0,Married,"Private, for-profit",4850,40.0,Female,8,65000.0,6,62293.0
43,24.0,Married,"Private, non-profit",2100,40.0,Male,1,70000.0,6,70614.0
21,16.0,Never married,Federal government,9830,40.0,Male,1,24000.0,6,19230.0
19,19.0,Never married,"Self-employed, incorporated",5860,20.0,Female,1,10000.0,6,8679.0
60,21.0,Never married,"Private, for-profit",800,40.0,Female,6,36000.0,6,31037.0
25,1.0,Never married,"Private, for-profit",6330,60.0,Male,9,29000.0,6,23847.0
38,21.0,Married,"Private, for-profit",2640,40.0,Male,6,136000.0,6,134997.0
46,16.0,Married,State government,3602,75.0,Female,6,55000.0,6,58768.0
59,16.0,Never married,"Private, non-profit",4600,30.0,FEMALE,8,1980.0,6,4032.0
26,21.0,Never married,"Private, for-profit",710,40.0,Male,8,60000.0,6,60853.0
48,19.0,Widowed,"Private, for-profit",5240,40.0,Female,1,80000.0,6,85779.0
80,16.0,Divorced,Local government,9620,29.0,MALE,1,33800.0,6,34443.0
40,,Divorced,"Private, for-profit",2545,40.0,Female,1,33000.0,6,36315.0
43,20.0,Married,"Private, for-profit",4965,40.0,Female,8,32000.0,6,26897.0
39,17.0,Married,Local government,2006,20.0,Female,1,6500.0,6,7787.0
63,21.0,Divorced,"Private, for-profit",7330,,Male,1,100000.0,6,97982.0
28,16.0,Married,"Private, for-profit",4240,40.0,Male,1,30000.0,6,28638.0
60,18.0,Divorced,"Private, for-profit",9130,40.0,Male,1,35000.0,6,34753.0
20,19.0,Never married,"Private, for-profit",4140,25.0,Male,2,18700.0,6,23064.0
25,21.0,Married,"Private, non-profit",725,40.0,Female,9,30000.0,6,36862.0
56,21.0,Married,"Private, for-profit",1320,40.0,Male,6,120500.0,6,120017.0
51,19.0,Married,"Private, for-profit",3603,40.0,Female,9,65000.0,6,69123.0
28,22.0,Married,"Private, for-profit",230,30.0,Male,9,52000.0,6,48029.0
41,21.0,Married,Local government,3870,40.0,Male,1,5150.0,6,5953.0
46,22.0,Married,"Private, for-profit",1021,50.0,Male,1,148000.0,6,153870.0
36,21.0,Married,"Private, for-profit",1108,40.0,Male,6,55000.0,6,53793.0
37,21.0,Married,"Self-employed, incorporated",4621,40.0,Female,6,60000.0,6,59050.0
64,,Married,"Private, for-profit",3930,24.0,Male,1,48500.0,6,55077.0
39,6.0,Never married,"Private, for-profit",7750,40.0,Male,1,16800.0,6,14515.0
38,12.0,Married,"Self-employed, unincorporated",7010,40.0,Male,8,29000.0,6,30862.0
51,,Divorced,"Private, for-profit",7330,62.0,Male,8,55000.0,6,63246.0
29,22.0,Never married,"Private, for-profit",530,50.0,Male,8,,6,
26,21.0,Married,"Private, for-profit",4110,20.0,Female,1,25000.0,6,27041.0
41,20.0,Married,State government,6410,40.0,Male,1,75000.0,6,76108.0
65,20.0,Divorced,State government,2545,10.0,Female,1,20600.0,6,30206.0
36,16.0,Widowed,"Private, for-profit",7410,50.0,MALE,1,150000.0,6,149358.0
56,21.0,Divorced,"Private, for-profit",3245,40.0,Male,1,90000.0,6,88801.0
25,19.0,Never married,"Private, for-profit",4760,30.0,Female,1,15000.0,6,9093.0
51,9.0,Married,"Private, for-profit",4230,37.0,Female,1,19000.0,6,19846.0
21,16.0,Never married,"Private, for-profit",5240,40.0,female,1,16000.0,6,9130.0
38,21.0,Married,"Private, for-profit",800,50.0,Female,1,58000.0,6,62793.0
20,19.0,Never married,"Private, non-profit",2014,20.0,Female,8,15000.0,6,25714.0
47,20.0,Married,State government,2005,40.0,Male,1,49000.0,6,46737.0
62,21.0,Never married,"Private, for-profit",5850,40.0,Male ,1,51000.0,6,48519.0
51,16.0,Married ,"Private, for-profit",7700,50.0,Male,1,111000.0,6,111879.0
28,20.0,Never married,Local government,2545,40.0,Female,1,36000.0,6,34446.0
28,21.0,Never married,Local government,2320,40.0,Female,6,57000.0,6,50453.0
38,21.0,Married,"Private, non-profit",3323,,Female,6,10000.0,6,2763.0
38,,Never married,"Private, for-profit",3602,30.0,Female,6,2300.0,6,-6246.0
32,19.0,Never married,"Private, for-profit",3603,76.0,Male,1,25000.0,6,25385.0
37,,Married,"Private, for-profit",5240,40.0,Male,8,35000.0,6,44189.0
32,22.0,Married,"Private, for-profit",845,60.0,Male,6,32000.0,6,34268.0
32,16.0,Married,State government,5521,40.0,Female,1,25600.0,6,21391.0
46,24.0,Married,"Private, for-profit",2100,40.0,Male,1,240000.0,6,235211.0
46,22.0,Never married,"Private, for-profit",1460,50.0,Male,6,80000.0,6,83010.0
19,18.0,Never married,"Private, for-profit",5240,15.0,Female,1,6000.0,6,13063.0
37,21.0,Married,Local government,565,40.0,Male,1,130000.0,6,132949.0
20,16.0,Never married,"Private, for-profit",4020,30.0,Female,1,10000.0,6,-857.0
21,19.0,Never married,"Private, for-profit",5240,30.0,Female,1,8000.0,6,14506.0
24,19.0,Never married,"Private, non-profit",4435,25.0,Female,1,6000.0,6,5525.0
65,21.0,Married,Federal government,2310,7.0,Male,1,29200.0,6,30801.0
63,,Never married,"Private, for-profit",6050,40.0,Female,8,17900.0,6,17789.0
29,20.0,Never married,"Private, for-profit",5860,40.0,Male,1,35000.0,6,43011.0
50,16.0,Never married,State government,3602,40.0,Male,1,20000.0,6,17662.0
53,16.0,Married,"Private, for-profit",6260,25.0,Male,1,1200.0,6,2107.0
39,24.0,Never married,State government,2205,40.0,female,6,60000.0,6,65929.0
19,18.0,Never married ,"Private, non-profit",4760,25.0,Male,1,10000.0,6,1751.0
53,21.0,Married,"Private, for-profit",1021,-1.0,Female,1,,6,
60,15.0,Divorced,"Self-employed, unincorporated",4850,4.0,Female,8,600.0,6,719.0
54,15.0,Married,"Self-employed, unincorporated",4521,12.0,Female,1,18700.0,6,15363.0
23,21.0,Married,"Private, for-profit",3401,40.0,Female,1,,6,
28,18.0,Never married,"Private, for-profit",4700,60.0,Male,7,48500.0,6,47780.0
56,19.0,Married,"Self-employed, unincorporated",2752,35.0,Male,1,17000.0,6,23949.0
58,19.0,Widowed,"Private, for-profit",7750,40.0,Female,6,60000.0,6,69575.0
19,19.0,Never married,"Private, for-profit",2634,30.0,Male,1,20000.0,6,11057.0
26,16.0,Never married,"Private, for-profit",4720,40.0,Female,1,11500.0,6,7466.0
37,18.0,Married,"Private, for-profit",5610,40.0,Female,1,43800.0,6,37824.0
46,21.0,Never married,"Private, for-profit",5710,40.0,Female,1,53000.0,6,51758.0
69,15.0,Married,Local government,3725,52.0,Male,1,42700.0,6,38263.0
42,19.0,Married,"Self-employed, incorporated",10,52.0,Male,1,70000.0,6,67984.0
56,21.0,Married,"Private, for-profit",1530,60.0,Male,8,160000.0,6,161581.0
45,19.0,Married,"Private, for-profit",750,40.0,Male,6,,6,
62,15.0,Married,"Private, for-profit",6355,40.0,Male,1,212400.0,6,216993.0
33,16.0,Never married,"Private, for-profit",4700,45.0,Male,1,75000.0,6,81565.0
27,19.0,Separated,"Private, for-profit",3602,40.0,Female,8,45000.0,6,34352.0
27,21.0,Never married,"Private, for-profit",4030,35.0,Male,1,25000.0,6,32180.0
51,,Married,"Private, for-profit",51,60.0,Male,1,289000.0,6,284467.0
25,21.0,Never married,"Private, for-profit",5940,40.0,Male,6,30000.0,6,27815.0
49,19.0,Married,"Self-employed, unincorporated",410,15.0,Male,1,12000.0,6,11837.0
33,22.0,Married,"Private, for-profit",5400,40.0,Female,1,45000.0,6,43970.0
64,16.0,Never married,"Private, for-profit",2006,-1.0,Male,1,178000.0,6,181114.0
51,22.0,Married,"Private, non-profit",2310,4.0,Female,1,1400.0,6,9474.0
69,,Married,"Private, for-profit",2850,4.0,Male,1,28000.0,6,32777.0
53,,Married,"Private, for-profit",6200,40.0,Male,1,55000.0,6,55653.0
58,16.0,Married,"Private, for-profit",7540,40.0,Male,1,120000.0,6,113811.0
43,22.0,Married ,"Private, for-profit",1410,,Male,6,,6,
31,20.0,Married,"Private, for-profit",5740,14.0,Female,3,8400.0,6,5571.0
48,16.0,Married,"Private, for-profit",5110,50.0,Female,6,60000.0,6,63829.0
39,19.0,Divorced,"Private, for-profit",5000,40.0,Male,9,134000.0,6,130863.0
48,16.0,Separated,"Self-employed, unincorporated",4510,51.0,Female,1,61000.0,6,66056.0
56,16.0,Married,Federal government,5550,50.0,Female,1,68200.0,6,63151.0
66,,Never married,"Private, for-profit",4230,30.0,Female,8,14100.0,6,13058.0
18,18.0,Never married,"Private, for-profit",4760,32.0,Female,9,1300.0,6,-503.0
39,23.0,Married,"Private, for-profit",3500,40.0,Male,6,45000.0,6,48950.0
60,,Divorced,State government,3602,8.0,Female,6,4800.0,6,768.0
18,,Never married,State government,3500,70.0,Female,1,106000.0,6,103364.0
26,21.0,Never married,"Private, for-profit",1007,40.0,Male,6,107000.0,6,104162.0
69,18.0,Divorced,"Private, for-profit",120,40.0,Female,1,60000.0,6,60048.0
49,19.0,Never married,"Private, for-profit",710,35.0,Male,1,120000.0,6,111358.0
24,20.0,Married,"Private, for-profit",9130,21.0,Male,6,3800.0,6,5347.0
56,,Married,"Private, for-profit",440,50.0,Female,2,240000.0,6,234617.0
35,16.0,Married,"Self-employed, unincorporated",20,50.0,Male,1,45000.0,6,44244.0
